ind,fc,fy,b,d,szx,szy,ag,nu,mu
149,30.0,390.0,950.0,950.0,0.05703326315789474,0.05703326315789474,0.021120000000000003,24.84050184790117,3.073380487815315
150,30.0,390.0,950.0,950.0,0.05703326315789474,0.05703326315789474,0.021120000000000003,25.38046663195431,2.914955519255277
151,30.0,390.0,950.0,950.0,0.05703326315789474,0.05703326315789474,0.021120000000000003,25.915510697585745,2.751100725536815
152,30.0,390.0,950.0,950.0,0.05703326315789474,0.05703326315789474,0.021120000000000003,26.445920332242213,2.5817380115605495
153,30.0,390.0,950.0,950.0,0.05703326315789474,0.05703326315789474,0.021120000000000003,26.965012669172932,2.4058810976498455
154,30.0,390.0,950.0,950.0,0.05703326315789474,0.05703326315789474,0.021120000000000003,27.47966388566858,2.2243357759437345
155,30.0,390.0,950.0,950.0,0.05703326315789474,0.05703326315789474,0.021120000000000003,27.99068296003166,2.0371167781000956
156,30.0,390.0,950.0,950.0,0.05703326315789474,0.05703326315789474,0.021120000000000003,28.341185997767255,1.9061700600870157
157,30.0,390.0,950.0,950.0,0.05703326315789474,0.05703326315789474,0.021120000000000003,28.845515236538763,1.7074299823796804
158,30.0,390.0,950.0,950.0,0.05703326315789474,0.05703326315789474,0.021120000000000003,29.346760250724255,1.5028505246198727
159,30.0,390.0,950.0,950.0,0.05703326315789474,0.05703326315789474,0.021120000000000003,29.8450790325639,1.292383906018511
160,30.0,390.0,950.0,950.0,0.05703326315789474,0.05703326315789474,0.021120000000000003,30.340618964401425,1.0759855544834895
161,30.0,390.0,950.0,950.0,0.05703326315789474,0.05703326315789474,0.021120000000000003,30.833517694606964,0.8536138417188058
162,30.0,390.0,950.0,950.0,0.05703326315789474,0.05703326315789474,0.021120000000000003,31.240391428133016,0.6671228458594726
163,30.0,390.0,950.0,950.0,0.05703326315789474,0.05703326315789474,0.021120000000000003,31.312826712683346,0.6452166114163741
